user,ndcg@5,precision@5,MAP
8139,1.0,0.4,0.7916666666666666
8334,0.0,0.0,0.0
8945,0.43067655807339306,0.2,0.0625
10907,0.0,0.0,0.0
16056,0.6309297535714575,0.2,0.2708333333333333
17420,1.0,0.2,0.5208333333333333
19705,0.0,0.0,0.0
21565,0.0,0.0,0.0
22848,0.5,0.2,0.14583333333333331
23131,0.0,0.0,0.0
24454,0.0,0.0,0.0
26127,1.0,0.4,0.7916666666666666
28181,0.0,0.0,0.0
28408,0.0,0.0,0.0
29104,0.0,0.0,0.0
31108,0.5437713091520254,0.4,0.14583333333333331
31145,0.43067655807339306,0.2,0.0625
33494,0.6934264036172708,0.4,0.41666666666666663
33875,0.5,0.2,0.14583333333333331
34241,0.0,0.0,0.0
34330,0.0,0.0,0.0
38218,0.0,0.0,0.0
39215,0.0,0.0,0.0
39488,0.43067655807339306,0.2,0.0625
39792,1.0,0.2,0.5208333333333333
41601,1.0,0.2,0.5208333333333333
41756,0.6309297535714575,0.2,0.2708333333333333
45845,0.0,0.0,0.0
48453,0.0,0.0,0.0
52012,0.0,0.0,0.0
52015,0.6309297535714575,0.2,0.2708333333333333
53134,0.0,0.0,0.0
53836,0.0,0.0,0.0
54361,1.0,0.2,0.5208333333333333
56285,0.0,0.0,0.0
56819,0.0,0.0,0.0
59392,0.6309297535714575,0.2,0.2708333333333333
59504,0.5,0.2,0.14583333333333331
60198,0.43067655807339306,0.2,0.0625
60308,0.6309297535714575,0.2,0.2708333333333333
65145,0.0,0.0,0.0
67319,0.5,0.2,0.14583333333333331
67511,0.0,0.0,0.0
69747,0.0,0.0,0.0
70331,0.0,0.0,0.0
70720,0.0,0.0,0.0
71028,0.5437713091520254,0.4,0.14583333333333331
71283,0.5,0.2,0.14583333333333331
71447,0.9674679834891693,0.6,0.8541666666666666
71585,0.6309297535714575,0.2,0.2708333333333333
73257,0.43067655807339306,0.2,0.0625
73798,0.7122630665145961,0.6,0.41666666666666663
76157,0.0,0.0,0.0
76957,1.0,0.2,0.5208333333333333
77475,0.38685280723454163,0.2,0.0
77519,0.0,0.0,0.0
78318,1.0,0.2,0.5208333333333333
78998,0.0,0.0,0.0
79717,0.0,0.0,0.0
81430,0.5,0.2,0.14583333333333331
82713,0.5,0.2,0.14583333333333331
83549,0.5706417189553201,0.4,0.20833333333333331
83970,0.0,0.0,0.0
84856,0.5,0.2,0.14583333333333331
85191,1.0,0.2,0.5208333333333333
85459,0.5706417189553201,0.4,0.20833333333333331
85828,0.6309297535714575,0.2,0.2708333333333333
86346,0.5,0.2,0.14583333333333331
87549,1.0,0.4,0.7916666666666666
89344,0.0,0.0,0.0
89809,0.5,0.2,0.14583333333333331
94096,0.8503449055347546,0.4,0.5208333333333333
95213,0.6309297535714575,0.2,0.2708333333333333
95591,0.0,0.0,0.0
96601,0.6309297535714575,0.2,0.2708333333333333
97511,0.6934264036172708,0.4,0.41666666666666663
99093,0.6309297535714575,0.2,0.2708333333333333
99111,0.0,0.0,0.0
102390,0.38685280723454163,0.2,0.0
103540,0.0,0.0,0.0
106156,0.0,0.0,0.0
107767,0.6309297535714575,0.2,0.2708333333333333
110511,0.0,0.0,0.0
110537,0.5,0.2,0.14583333333333331
113992,0.6309297535714575,0.2,0.2708333333333333
114650,0.5012658353418871,0.4,0.0625
115020,0.0,0.0,0.0
115557,0.0,0.0,0.0
117000,0.6309297535714575,0.2,0.2708333333333333
119525,0.5437713091520254,0.4,0.14583333333333331
120634,0.0,0.0,0.0
120783,0.43067655807339306,0.2,0.0625
