user_id;rec_stories
2699805;[11825585, 6045275, 2905557, 1351933, 10506441]
2747146;[2905557, 2741470, 6029161, 5358187, 6045275]
3017256;[2905557, 2724972, 6045275, 6029161, 2741470]
3102161;[6754695, 10991501, 2905557, 6045275, 10399961]
3248292;[5453054, 9855330, 10937871, 9788639, 6458809]
3620736;[10991501, 10399961, 8257400, 6754695, 10506441]
4302290;[2905557, 6045275, 8257400, 8233288, 10506441]
4374622;[10506441, 3693052, 6045275, 10991501, 12058516]
102390;[6045275, 10991501, 12058516, 10506441, 5062719]
6159354;[10506441, 6045275, 10991501, 5358187, 11825585]
2207088;[10991501, 10506441, 10399961, 6045275, 5358187]
134545;[10506441, 10991501, 6045275, 5062719, 12058516]
4644898;[6045275, 6029161, 6256924, 11916243, 2724972]
5342079;[10991501, 11916243, 6045275, 9040382, 2251671]
5431916;[10506441, 12058516, 10991501, 5062719, 5453054]
5682116;[10991501, 12058516, 10506441, 5062719, 6754695]
5918924;[5062719, 6045275, 6458809, 10506441, 12058516]
6014936;[10506441, 5358187, 10991501, 4230389, 6045275]
6365094;[10506441, 4819806, 4230389, 12058516, 8670912]
6626981;[6045275, 12058516, 10991501, 6754695, 8745066]
6715824;[6045275, 12058516, 2905557, 6754695, 10991501]
6911829;[2905557, 6029161, 6045275, 10991501, 10506441]
7374173;[5062719, 10506441, 12058516, 5453054, 10991501]
7651263;[10991501, 12058516, 4230389, 10506441, 6486690]
7820878;[12058516, 5062719, 10506441, 10991501, 6045275]
8499112;[2905557, 10399961, 8257400, 6754695, 9973394]
797895;[2905557, 6045275, 6029161, 6256924, 4819806]
1301815;[2905557, 10506441, 6045275, 6029161, 9973394]
1663463;[3401052, 12058516, 5453054, 10991501, 10506441]
3102161;[10506441, 2905557, 3693052, 6045275, 9750991]
3861919;[10991501, 10506441, 6754695, 10399961, 6147206]
156982;[6045275, 8257400, 2724972, 5358187, 4230389]
185068;[8257400, 5062719, 2905557, 6029161, 10991501]
4644898;[2107570, 8711868, 9750991, 6045275, 2905557]
4660561;[10991501, 12058516, 10399961, 6754695, 10506441]
4680852;[5062719, 8045114, 10506441, 6045275, 7502401]
4717091;[10506441, 5062719, 6045275, 12058516, 9750991]
4733430;[2905557, 10991501, 6045275, 10399961, 8257400]
4857159;[2905557, 4819806, 6045275, 2724972, 6458809]
5342079;[10506441, 2905557, 6045275, 5062719, 10010184]
5451546;[2905557, 8257400, 6045275, 2741470, 2724972]
5537142;[12058516, 10991501, 6754695, 5453054, 8975202]
5540686;[10991501, 10506441, 7502401, 4230389, 12058516]
5548401;[2905557, 6045275, 5062719, 6458809, 8232212]
5682116;[2905557, 8232212, 9750991, 6045275, 10506441]
5986736;[5062719, 6045275, 12058516, 6642643, 9750991]
6159354;[6754695, 10991501, 12058516, 10506441, 3401052]
6293544;[10506441, 3157478, 3693052, 5062719, 12058516]
6357405;[2905557, 8848598, 2290003, 6029161, 2724972]
6484170;[10506441, 5062719, 11825585, 6754695, 12058516]
6852914;[2107570, 8232212, 8711868, 9855330, 8745066]
6855546;[10991501, 10399961, 12058516, 8257400, 2724972]
6960859;[2905557, 6045275, 2741470, 2724972, 6029161]
7445622;[6045275, 6029161, 2905557, 10506441, 2741470]
7521550;[12058516, 11041506, 5453054, 3401052, 3186836]
7651263;[6029161, 6045275, 2724972, 2905557, 9750991]
8079880;[6045275, 6458809, 11916243, 12058516, 5358187]
