user_id;rec_stories
2699127;[7026042, 11723179, 7124111, 4583618, 6541079]
2699805;[7026042, 11723179, 7124111, 4583618, 6541079]
2747146;[7026042, 11723179, 7124111, 4583618, 6541079]
3017256;[11723179, 7026042, 7124111, 4583618, 6541079]
3102161;[7026042, 11723179, 7124111, 4583618, 6541079]
3248292;[11723179, 7026042, 7124111, 11264162, 6541079]
3620736;[7026042, 11723179, 7124111, 4583618, 6541079]
4302290;[7026042, 11723179, 7124111, 4583618, 6541079]
4374622;[11723179, 7026042, 7124111, 4583618, 6541079]
102390;[11723179, 7026042, 7124111, 4583618, 6541079]
6159354;[7026042, 11723179, 7124111, 4583618, 6541079]
2207088;[11723179, 7026042, 7124111, 11264162, 6541079]
134545;[7026042, 11723179, 7124111, 4583618, 6541079]
4644898;[11723179, 7026042, 7124111, 6541079, 11264162]
5342079;[7026042, 11723179, 7124111, 4583618, 6541079]
5431916;[11723179, 7026042, 7124111, 4583618, 6541079]
5682116;[7026042, 11723179, 7124111, 4583618, 6541079]
5918924;[7026042, 11723179, 7124111, 4583618, 6541079]
6014936;[7026042, 11723179, 7124111, 4583618, 6541079]
6365094;[11723179, 7026042, 7124111, 6541079, 11264162]
6626981;[7026042, 11723179, 7124111, 4583618, 6541079]
6715824;[7026042, 11723179, 7124111, 4583618, 6541079]
6911829;[7026042, 11723179, 7124111, 4583618, 6541079]
7374173;[11723179, 10610076, 7026042, 5276974, 3384712]
7651263;[11723179, 7026042, 7124111, 6541079, 11264162]
7820878;[11723179, 7026042, 7124111, 6541079, 11264162]
8499112;[7026042, 11723179, 7124111, 4583618, 6541079]
797895;[7026042, 11723179, 7124111, 4583618, 6541079]
1301815;[11723179, 10610076, 7026042, 5276974, 7124111]
1663463;[7026042, 11723179, 7124111, 4583618, 6541079]
3102161;[7026042, 11723179, 7124111, 4583618, 6541079]
3861919;[7026042, 11723179, 7124111, 4583618, 6541079]
156982;[7026042, 11723179, 7124111, 4583618, 6541079]
185068;[7026042, 11723179, 7124111, 4583618, 6541079]
4644898;[11723179, 7026042, 7124111, 4583618, 6541079]
4660561;[11723179, 7026042, 7124111, 4583618, 6541079]
4680852;[7026042, 11723179, 7124111, 4583618, 6541079]
4717091;[7026042, 11723179, 7124111, 4583618, 6541079]
4733430;[7026042, 11723179, 7124111, 4583618, 6541079]
4857159;[7026042, 11723179, 7124111, 4583618, 6541079]
5342079;[7026042, 11723179, 7124111, 4583618, 6541079]
5451546;[11723179, 7026042, 7124111, 11264162, 6541079]
5537142;[7026042, 11723179, 7124111, 4583618, 6541079]
5540686;[7026042, 11723179, 7124111, 4583618, 6541079]
5548401;[7026042, 11723179, 7124111, 4583618, 6541079]
5682116;[7026042, 11723179, 7124111, 4583618, 6541079]
5986736;[7026042, 11723179, 7124111, 4583618, 6541079]
6159354;[11723179, 7026042, 7124111, 4583618, 6541079]
6293544;[7026042, 11723179, 7124111, 4583618, 6541079]
6357405;[7026042, 11723179, 7124111, 4583618, 6541079]
6484170;[7026042, 11723179, 7124111, 4583618, 6541079]
6852914;[11723179, 7026042, 7124111, 4583618, 6541079]
6855546;[7026042, 11723179, 7124111, 4583618, 6541079]
6960859;[7026042, 11723179, 7124111, 4583618, 6541079]
7445622;[7026042, 11723179, 7124111, 4583618, 6541079]
7521550;[7026042, 11723179, 7124111, 4583618, 6541079]
7651263;[7026042, 11723179, 7124111, 4583618, 6541079]
8079880;[11723179, 7026042, 7124111, 4583618, 6541079]
8662485;[7026042, 11723179, 7124111, 4583618, 6541079]
667246;[7026042, 11723179, 7124111, 4583618, 6541079]
676112;[11723179, 7026042, 7124111, 11264162, 6541079]
797895;[11723179, 7026042, 7124111, 4583618, 6541079]
849244;[11723179, 7026042, 7124111, 4583618, 6541079]
866150;[7026042, 11723179, 7124111, 4583618, 6541079]
1009447;[7026042, 11723179, 7124111, 4583618, 6541079]
1570528;[7026042, 11723179, 7124111, 4583618, 6541079]
1582883;[7026042, 11723179, 7124111, 4583618, 6541079]
1638611;[7026042, 11723179, 7124111, 4583618, 6541079]
1663463;[7026042, 11723179, 7124111, 4583618, 6541079]
1707053;[11723179, 7026042, 7124111, 4583618, 6541079]
1716755;[7026042, 11723179, 7124111, 4583618, 6541079]
1726366;[7026042, 11723179, 7124111, 4583618, 6541079]
1727251;[7026042, 11723179, 7124111, 4583618, 6541079]
1867834;[7026042, 11723179, 7124111, 4583618, 6541079]
1890235;[7026042, 11723179, 7124111, 4583618, 6541079]
1900973;[11723179, 7026042, 7124111, 11264162, 6541079]
1968974;[7026042, 11723179, 7124111, 4583618, 6541079]
2043604;[11723179, 7026042, 7124111, 6541079, 11264162]
2056115;[7026042, 11723179, 7124111, 4583618, 6541079]
2071557;[11723179, 7026042, 7124111, 11264162, 6541079]
2313978;[11723179, 7026042, 7124111, 6541079, 11264162]
2353125;[7026042, 11723179, 7124111, 4583618, 6541079]
2490778;[11723179, 7026042, 7124111, 11264162, 6541079]
2513926;[7026042, 11723179, 7124111, 4583618, 6541079]
2665609;[11723179, 7026042, 7124111, 6541079, 11264162]
2699805;[11723179, 7026042, 7124111, 11264162, 6541079]
3102161;[11723179, 7026042, 7124111, 6541079, 11264162]
3230503;[11723179, 7026042, 7124111, 11264162, 6541079]
3286045;[11723179, 7026042, 7124111, 11264162, 6541079]
3306332;[7026042, 11723179, 7124111, 4583618, 6541079]
3349157;[11723179, 7026042, 10610076, 7124111, 5276974]
3354458;[7026042, 11723179, 7124111, 4583618, 6541079]
