user,ndcg@5,precision@5,MAP
8139,0.0,0.0,0.0
8334,0.0,0.0,0.0
8945,0.0,0.0,0.0
10907,0.0,0.0,0.0
16056,0.0,0.0,0.0
17420,0.0,0.0,0.0
19705,0.0,0.0,0.0
21565,0.0,0.0,0.0
22848,0.0,0.0,0.0
23131,0.0,0.0,0.0
24454,0.0,0.0,0.0
26127,0.0,0.0,0.0
28181,0.0,0.0,0.0
28408,0.0,0.0,0.0
29104,0.0,0.0,0.0
31108,0.0,0.0,0.0
31145,0.0,0.0,0.0
33494,0.0,0.0,0.0
33875,0.0,0.0,0.0
34241,0.0,0.0,0.0
34330,0.0,0.0,0.0
38218,0.0,0.0,0.0
39215,0.0,0.0,0.0
39488,0.0,0.0,0.0
39792,1.0,0.2,0.5208333333333333
41601,0.0,0.0,0.0
41756,0.0,0.0,0.0
45845,0.0,0.0,0.0
48453,0.0,0.0,0.0
52012,0.0,0.0,0.0
52015,0.0,0.0,0.0
53134,0.0,0.0,0.0
53836,0.5,0.2,0.14583333333333331
54361,0.0,0.0,0.0
56285,0.0,0.0,0.0
56819,0.0,0.0,0.0
59392,0.0,0.0,0.0
59504,0.0,0.0,0.0
60198,0.0,0.0,0.0
60308,0.0,0.0,0.0
65145,0.0,0.0,0.0
67319,0.0,0.0,0.0
67511,0.0,0.0,0.0
69747,0.0,0.0,0.0
70331,0.0,0.0,0.0
70720,0.0,0.0,0.0
71028,0.0,0.0,0.0
71283,0.0,0.0,0.0
71447,0.0,0.0,0.0
71585,0.0,0.0,0.0
73257,0.0,0.0,0.0
73798,0.0,0.0,0.0
76157,0.0,0.0,0.0
76957,0.0,0.0,0.0
77475,0.0,0.0,0.0
77519,0.0,0.0,0.0
78318,0.0,0.0,0.0
78998,0.0,0.0,0.0
79717,0.0,0.0,0.0
81430,0.0,0.0,0.0
82713,0.0,0.0,0.0
83549,0.0,0.0,0.0
83970,0.0,0.0,0.0
84856,0.0,0.0,0.0
85191,0.0,0.0,0.0
85459,0.0,0.0,0.0
85828,0.0,0.0,0.0
86346,0.0,0.0,0.0
87549,0.0,0.0,0.0
89344,0.0,0.0,0.0
89809,0.0,0.0,0.0
94096,0.0,0.0,0.0
95213,0.0,0.0,0.0
95591,0.0,0.0,0.0
96601,0.0,0.0,0.0
97511,0.0,0.0,0.0
99093,0.0,0.0,0.0
99111,0.0,0.0,0.0
102390,0.0,0.0,0.0
103540,0.0,0.0,0.0
106156,0.0,0.0,0.0
107767,0.0,0.0,0.0
110511,0.0,0.0,0.0
110537,0.0,0.0,0.0
113992,0.0,0.0,0.0
114650,0.0,0.0,0.0
115020,0.0,0.0,0.0
115557,0.0,0.0,0.0
117000,0.0,0.0,0.0
119525,0.0,0.0,0.0
120634,0.0,0.0,0.0
120783,0.0,0.0,0.0
122335,0.0,0.0,0.0
122361,0.0,0.0,0.0
122459,0.0,0.0,0.0
122618,0.0,0.0,0.0
123523,0.0,0.0,0.0
123804,0.0,0.0,0.0
124212,0.0,0.0,0.0
125915,0.0,0.0,0.0
126585,0.43067655807339306,0.2,0.0625
128129,0.0,0.0,0.0
132029,0.0,0.0,0.0
132239,0.0,0.0,0.0
133067,0.0,0.0,0.0
133441,0.0,0.0,0.0
133801,0.0,0.0,0.0
133999,0.6309297535714575,0.2,0.2708333333333333
134545,0.0,0.0,0.0
135235,0.0,0.0,0.0
135959,0.0,0.0,0.0
136909,0.0,0.0,0.0
137394,0.0,0.0,0.0
137861,0.0,0.0,0.0
137999,0.0,0.0,0.0
138314,0.0,0.0,0.0
138898,0.0,0.0,0.0
139310,0.0,0.0,0.0
141811,0.0,0.0,0.0
142830,0.0,0.0,0.0
144608,0.0,0.0,0.0
146971,0.0,0.0,0.0
147030,0.0,0.0,0.0
148978,0.0,0.0,0.0
148988,0.0,0.0,0.0
149387,0.0,0.0,0.0
150124,0.0,0.0,0.0
150206,0.0,0.0,0.0
151097,0.0,0.0,0.0
151419,0.0,0.0,0.0
151892,0.0,0.0,0.0
153648,0.0,0.0,0.0
153751,0.0,0.0,0.0
154074,0.0,0.0,0.0
